TIME,LATITUDE,LONGITUDE,RAINFALL,DISTRICT,STATE
1967-01-09,10.0,77.5,0.0,idukki,Kerala
1967-01-10,10.0,77.5,0.0,idukki,Kerala
1967-01-11,10.0,77.5,0.0,idukki,Kerala
1967-01-12,10.0,77.5,0.0,idukki,Kerala
1967-01-13,10.0,77.5,0.0,idukki,Kerala
1967-01-14,10.0,77.5,0.0,idukki,Kerala
1967-01-15,10.0,77.5,0.0,idukki,Kerala
1967-01-16,10.0,77.5,0.0,idukki,Kerala
1967-01-17,10.0,77.5,0.0,idukki,Kerala
1967-01-18,10.0,77.5,0.0,idukki,Kerala
1967-01-19,10.0,77.5,0.0,idukki,Kerala
1967-01-20,10.0,77.5,0.0,idukki,Kerala
1967-01-21,10.0,77.5,0.0,idukki,Kerala
1967-01-22,10.0,77.5,0.0,idukki,Kerala
1967-01-23,10.0,77.5,0.0,idukki,Kerala
1967-01-24,10.0,77.5,0.0,idukki,Kerala
1967-01-25,10.0,77.5,0.0,idukki,Kerala
1967-01-26,10.0,77.5,0.0,idukki,Kerala
1967-01-27,10.0,77.5,0.0,idukki,Kerala
1967-01-28,10.0,77.5,0.0,idukki,Kerala
1967-01-29,10.0,77.5,0.0,idukki,Kerala
1967-01-30,10.0,77.5,0.0,idukki,Kerala
1967-01-01,11.75,75.25,0.0,kannur,Kerala
1967-01-02,11.75,75.25,0.0,kannur,Kerala
1967-01-03,11.75,75.25,0.0,kannur,Kerala
1967-01-04,11.75,75.25,0.0,kannur,Kerala
1967-01-05,11.75,75.25,0.0,kannur,Kerala
1967-01-06,11.75,75.25,0.0,kannur,Kerala
1967-01-07,11.75,75.25,0.0,kannur,Kerala
1967-01-08,11.75,75.25,0.0,kannur,Kerala
1967-01-09,11.75,75.25,0.0,kannur,Kerala
1967-01-10,11.75,75.25,0.0,kannur,Kerala
1967-01-11,11.75,75.25,0.0,kannur,Kerala
1967-01-12,11.75,75.25,0.0,kannur,Kerala
1967-01-13,11.75,75.25,0.0,kannur,Kerala
1967-01-14,11.75,75.25,0.0,kannur,Kerala
1967-01-15,11.75,75.25,0.0,kannur,Kerala
1967-01-16,11.75,75.25,0.0,kannur,Kerala
1967-01-17,11.75,75.25,0.0,kannur,Kerala
1967-01-18,11.75,75.25,0.0,kannur,Kerala
1967-01-19,11.75,75.25,0.0,kannur,Kerala
1967-01-20,11.75,75.25,0.0,kannur,Kerala
1967-01-21,11.75,75.25,0.0,kannur,Kerala
1967-01-22,11.75,75.25,0.0,kannur,Kerala
1967-01-23,11.75,75.25,0.0,kannur,Kerala
1967-01-24,11.75,75.25,0.0,kannur,Kerala
1967-01-25,11.75,75.25,0.0,kannur,Kerala
1967-01-26,11.75,75.25,0.0,kannur,Kerala
1967-01-27,11.75,75.25,0.0,kannur,Kerala
1967-01-28,11.75,75.25,0.0,kannur,Kerala
1967-01-29,11.75,75.25,0.0,kannur,Kerala
1967-01-30,11.75,75.25,0.0,kannur,Kerala
1967-01-01,9.5,77.5,0.0,idukki,Kerala
1967-01-02,9.5,77.5,0.0,idukki,Kerala
1967-01-03,9.5,77.5,0.0,idukki,Kerala
1967-01-04,9.5,77.5,0.0,idukki,Kerala
1967-01-05,9.5,77.5,0.0,idukki,Kerala
1967-01-06,9.5,77.5,0.0,idukki,Kerala
1967-01-07,9.5,77.5,0.0,idukki,Kerala
1967-01-08,9.5,77.5,0.0,idukki,Kerala
1967-01-09,9.5,77.5,0.0,idukki,Kerala
1967-01-10,9.5,77.5,0.0,idukki,Kerala
1967-01-11,9.5,77.5,0.0,idukki,Kerala
1967-01-12,9.5,77.5,0.0,idukki,Kerala
1967-01-13,9.5,77.5,0.0,idukki,Kerala
1967-01-14,9.5,77.5,0.0,idukki,Kerala
1967-01-15,9.5,77.5,5.846055507659912,idukki,Kerala
1967-01-16,9.5,77.5,0.0,idukki,Kerala
1967-01-17,9.5,77.5,0.0,idukki,Kerala
1967-01-18,9.5,77.5,0.0,idukki,Kerala
1967-01-19,9.5,77.5,0.0,idukki,Kerala
1967-01-20,9.5,77.5,0.0,idukki,Kerala
1967-01-21,9.5,77.5,0.0,idukki,Kerala
1967-01-22,9.5,77.5,0.0,idukki,Kerala
1967-01-23,9.5,77.5,0.0,idukki,Kerala
1967-01-24,9.5,77.5,0.0,idukki,Kerala
1967-01-25,9.5,77.5,0.0,idukki,Kerala
1967-01-26,9.5,77.5,0.0,idukki,Kerala
1967-01-27,9.5,77.5,0.0,idukki,Kerala
1967-01-28,9.5,77.5,0.0,idukki,Kerala
1967-01-29,9.5,77.5,0.0,idukki,Kerala
1967-01-30,9.5,77.5,0.0,idukki,Kerala
